segdesc   = VCRC2H_F
2020-05-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 2/2024        5.444     6.737     8.764     5.037     4.693     3.974     4.988     4.873     4.235     5.043     4.968     6.368     3.295     5.708     5.138     5.635     3.341     4.264     2.310     3.299     5.475     5.679     5.300     4.223     4.926     3.562     3.741     4.173     2.975     3.877     5.954     4.222     3.624     5.318     5.296
 3/2024       14.439    15.254    12.289     6.203    11.610     5.734     5.179     6.398     6.808     7.715    13.678     6.992    13.335     8.249     7.454     6.672     6.031     4.776     3.879    11.033    11.169     6.713    17.437     5.165     7.570     3.827     5.743     8.083     4.011     8.732    11.445     4.944     4.201     7.032     6.397
 4/2024       36.690    37.510    37.917    15.220    42.829    17.194    16.983    33.397    27.537    23.511    21.642    11.674    25.551    19.513    12.061    23.046    24.631     8.931     8.622    37.741    33.914    22.938    25.279    20.864    14.155    12.724    15.357    25.798     7.507    19.185    15.057    12.994     9.342    14.597    17.506
 5/2024      102.355    83.245   104.306    43.527    69.686    56.620    57.510    84.627    90.988    75.068    59.211    57.395    94.528    69.809    61.566    58.754   111.896    17.315    44.910    89.405   108.815    57.053    76.911    80.331    89.652    36.475    46.685    55.512    21.014    56.172    46.321    41.619    55.304    58.250    92.442
 6/2024      154.046   131.055   125.495    78.397    53.264    67.732    94.246    54.523   122.223    65.261   132.030    28.702   137.348    61.123   111.767    29.846    60.151     9.123    40.669    47.759   128.798    30.296    50.760   103.838    48.072    61.322    92.422    29.453    28.993    72.959    88.120    48.763    90.404   129.288   112.038
 7/2024       42.093    59.369    38.126    27.487    19.761    32.662    35.758    23.846    38.068    19.017    82.722    11.675    35.356    27.514    63.016    11.418    18.293     4.840    13.335    16.399    43.449    16.742    19.611    31.585    16.303    17.365    28.227    12.702    10.247    20.266    29.964    25.680    39.073    69.616    39.461
 8/2024       17.078    23.950    20.875    33.336    17.951    23.377    18.544    19.167    19.796    13.452    27.417     9.281    26.758    15.322    51.222    10.089    23.740     3.781    10.199    10.144    22.756    13.572    26.735    15.144     9.708    14.344    13.480     7.844    10.343    15.055    13.407    15.692    32.021    26.125    28.404
 9/2024       19.576    24.371    12.909    22.615    10.104    17.866    32.984    15.249    17.643    14.983    16.530     8.935    33.605    12.789    33.316     7.868    11.174     7.617    14.747    14.230    17.019    12.918    17.005    15.384     8.809    10.042    10.204     6.165    24.276    14.704    10.655     8.502    32.344    12.728    20.829
10/2024       21.889    25.796    10.689    17.122    11.435    18.660    12.914     9.291    11.379     9.631    12.228     9.677    23.116     9.904    13.779     7.920     8.394     5.581     9.045    13.433    23.023    37.278    13.560    10.768     8.332    11.119    12.325     5.352    13.992    19.987     7.586    16.424    18.941    17.707    15.366
11/2024       12.261    15.160    10.124    10.051     6.990    11.557     8.384     7.367     8.408     7.549     8.532     6.032    11.233     8.951     9.057     6.361     6.944     3.560     5.928     9.461    12.914    14.048     7.796     8.332     6.460     7.464     7.920     4.466     6.813    10.263     6.695     8.104    10.401     9.118     9.699
12/2024        8.617    10.419     7.628     7.111     5.768     7.764     6.971     6.160     7.112     6.000     7.452     5.013     8.363     7.284     7.717     4.856     6.050     2.849     4.942     6.650     8.496     7.980     6.525     6.742     5.210     5.466     6.336     4.041     5.087     6.931     5.826     5.613     7.862     7.578     7.948
 1/2025        7.147     7.601     6.211     5.778     4.888     5.950     5.867     5.220     6.133     5.094     6.405     4.091     6.979     5.593     6.611     4.084     5.196     2.419     4.025     6.200     6.896     6.102     5.293     5.719     4.406     4.536     5.311     3.468     4.183     5.678     5.161     4.510     6.519     6.448     6.823
 2/2025        6.484     8.481     4.855     4.522     3.835     4.799     4.719     4.083     4.857     4.800     6.142     3.180     5.494     4.920     5.450     3.225     4.115     2.225     3.177     5.231     5.464     5.089     4.089     4.747     3.437     3.599     4.043     2.864     3.731     5.738     4.036     3.485     5.121     5.095     5.258
 3/2025       14.997    12.249     6.176    11.462     5.731     5.143     6.276     6.785     7.705    13.571     7.006    13.282     8.170     7.428     6.557     6.005     4.787     3.853    10.621    11.106     6.700    17.274     4.963     7.548     3.832     5.736     7.691     4.014     8.526    11.274     4.971     4.193     6.962     6.388    14.169
 4/2025       37.446    37.879    14.680    42.653    17.089    16.860    31.380    27.468    23.310    21.509    11.453    25.465    19.333    12.010    21.838    24.555     8.920     8.575    37.117    33.859    22.729    25.242    20.264    14.056    12.675    15.241    25.657     7.509    19.106    14.984    12.224     9.281    14.528    17.432    35.128
