segdesc   = VCRC2H_F
2021-04-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
11/2023,9.115,9.692,12.497,15.156,10.117,10.281,7.035,11.547,8.361,7.404,8.483,7.538,8.521,6.032,11.443,8.943,9.044,6.445,6.976,3.542,5.879,9.628,13.244,14.037,7.761,8.440,6.516,7.418,7.904,4.454,6.918,10.245,6.694,8.303,10.541
12/2023,7.575,7.942,8.694,10.416,7.624,7.169,5.775,7.758,6.951,6.194,7.144,5.991,7.443,5.049,8.424,7.278,7.704,4.866,6.071,2.833,4.899,6.684,8.592,7.971,6.492,6.781,5.230,5.425,6.322,4.037,5.127,6.917,5.825,5.673,7.926
1/2024,6.446,6.818,7.166,7.599,6.207,5.807,4.887,5.943,5.850,5.243,6.151,5.086,6.397,4.104,7.010,5.588,6.600,4.086,5.212,2.406,3.989,6.226,6.942,6.095,5.266,5.737,4.417,4.501,5.299,3.450,4.197,5.665,5.160,4.531,6.554
2/2024,5.262,5.442,6.735,8.734,5.035,4.690,3.961,4.964,4.863,4.236,5.041,5.020,6.361,3.294,5.700,5.132,5.627,3.332,4.264,2.285,3.274,5.481,5.679,5.257,4.205,4.925,3.560,3.693,4.168,2.963,3.868,5.904,4.224,3.614,5.317
3/2024,6.452,14.433,15.249,12.220,6.200,11.605,5.717,5.139,6.386,6.809,7.713,13.665,6.984,13.331,8.239,7.447,6.662,6.017,4.776,3.962,10.984,11.177,6.712,17.670,5.143,7.570,3.824,5.819,8.077,3.999,8.721,11.723,4.946,4.191,7.030
4/2024,17.690,36.684,37.506,40.570,15.217,42.824,17.167,17.079,33.373,27.539,23.507,22.153,11.667,25.548,19.498,12.796,23.034,24.609,8.931,8.777,37.693,33.924,22.937,26.649,20.817,14.154,12.720,15.637,25.792,7.495,19.173,15.208,12.997,9.327,14.594
5/2024,96.965,102.352,83.244,103.353,43.525,69.684,56.604,59.958,84.617,90.989,75.065,60.265,57.390,94.526,69.800,63.877,58.748,111.884,17.315,47.332,89.378,108.826,57.052,77.016,80.303,89.651,36.473,48.140,55.507,21.005,56.162,47.751,41.622,55.285,58.247
6/2024,109.492,154.045,131.054,126.228,78.396,53.263,67.724,93.164,54.519,122.223,65.260,133.903,28.699,137.347,61.120,111.562,29.842,60.148,9.123,38.496,47.749,128.804,30.296,49.782,103.828,48.071,61.321,91.922,29.451,28.986,72.953,87.428,48.764,90.397,129.288
7/2024,38.585,42.093,59.368,36.203,27.486,19.760,32.656,34.643,23.843,38.068,19.016,79.981,11.672,35.355,27.512,61.415,11.415,18.291,4.840,13.247,16.394,43.450,16.742,19.440,31.581,16.303,17.364,27.414,12.701,10.241,20.263,29.259,25.681,39.070,69.615
8/2024,27.717,17.078,23.950,20.804,33.335,17.951,23.373,18.227,19.165,19.796,13.452,27.083,9.279,26.758,15.320,50.969,10.086,23.738,3.782,10.440,10.140,22.756,13.572,26.687,15.140,9.708,14.343,13.221,7.843,10.338,15.053,13.227,15.693,32.018,26.125
9/2024,20.416,19.576,24.371,12.708,22.614,10.103,17.862,33.032,15.247,17.643,14.983,16.625,8.933,33.605,12.787,32.615,7.865,11.173,7.617,14.421,14.225,17.019,12.918,16.901,15.381,8.809,10.041,10.181,6.164,24.269,14.702,10.572,8.502,32.341,12.728
10/2024,15.215,21.889,25.796,10.674,17.122,11.435,18.657,12.601,9.290,11.379,9.631,11.723,9.675,23.116,9.902,13.483,7.918,8.393,5.581,8.681,13.429,23.023,37.278,13.236,10.766,8.332,11.118,12.323,5.351,13.988,19.985,7.542,16.424,18.939,17.706
11/2024,9.594,12.261,15.159,10.034,10.050,6.990,11.555,8.311,7.366,8.408,7.549,8.483,6.030,11.233,8.950,8.981,6.359,6.943,3.560,5.834,9.458,12.915,14.048,7.661,8.330,6.459,7.464,7.826,4.465,6.810,10.262,6.663,8.105,10.400,9.118
12/2024,7.912,8.617,10.419,7.573,7.111,5.767,7.763,6.918,6.159,7.112,6.000,7.417,5.012,8.363,7.283,7.673,4.854,6.049,2.849,4.892,6.648,8.496,7.980,6.481,6.740,5.210,5.465,6.278,4.040,5.084,6.930,5.816,5.613,7.861,7.578
1/2025,6.761,7.147,7.601,6.180,5.778,4.887,5.948,5.834,5.219,6.133,5.093,6.379,4.090,6.979,5.592,6.577,4.083,5.195,2.419,3.987,6.198,6.896,6.102,5.255,5.717,4.406,4.535,5.281,3.467,4.180,5.677,5.118,4.511,6.518,6.448
2/2025,5.243,6.484,8.481,4.855,4.521,3.834,4.798,4.692,4.082,4.857,4.800,6.159,3.179,5.493,4.920,5.435,3.224,4.114,2.225,3.173,5.229,5.465,5.089,4.066,4.746,3.437,3.599,4.023,2.863,3.729,5.737,4.074,3.486,5.120,5.095
3/2025,14.339,14.997,12.249,6.189,11.461,5.730,5.142,6.376,6.784,7.705,13.571,6.988,13.274,8.169,7.428,6.654,6.004,4.786,3.853,10.953,11.103,6.700,17.274,5.152,7.547,3.832,5.735,8.038,4.014,8.523,11.272,4.946,4.194,6.961,6.387
4/2025,36.528,37.446,37.879,15.112,42.652,17.088,16.858,33.220,27.465,23.310,21.509,11.568,25.465,19.333,12.009,22.859,24.553,8.919,8.575,37.593,33.855,22.729,25.242,20.758,14.054,12.675,15.240,25.617,7.508,19.104,14.983,12.925,9.282,14.526,17.432
5/2025,102.199,83.258,104.209,43.346,69.576,56.498,57.427,84.434,90.719,74.807,59.023,57.169,94.323,69.697,61.403,58.494,111.700,17.193,44.791,89.302,108.680,56.975,76.854,80.129,89.393,36.286,46.589,55.291,20.933,56.085,46.305,41.415,55.084,58.113,92.236
6/2025,153.992,130.856,125.445,78.286,53.120,67.666,94.059,54.476,122.112,65.186,131.914,28.664,137.162,61.091,111.656,29.789,60.113,9.091,40.613,47.733,128.732,30.276,50.705,103.795,48.025,61.191,92.364,29.401,28.926,72.918,88.096,48.690,90.371,129.149,111.981
7/2025,42.086,59.227,38.118,27.462,19.721,32.646,35.682,23.829,38.052,18.998,82.710,11.659,35.318,27.501,62.987,11.394,18.283,4.828,13.316,16.390,43.441,16.724,19.592,31.577,16.287,17.338,28.212,12.679,10.230,20.249,29.954,25.658,39.063,69.435,39.451
8/2025,17.075,23.933,20.871,33.316,17.930,23.369,18.522,19.155,19.790,13.439,27.414,9.269,26.741,15.312,51.208,10.069,23.731,3.774,10.184,10.138,22.753,13.558,26.719,15.139,9.697,14.326,13.471,7.828,10.332,15.041,13.398,15.680,32.011,26.092,28.397
9/2025,19.573,24.365,12.907,22.602,10.091,17.860,32.964,15.241,17.639,14.972,16.528,8.926,33.595,12.781,33.308,7.853,11.169,7.609,14.734,14.223,17.017,12.905,16.995,15.379,8.800,10.029,10.197,6.151,24.264,14.692,10.648,8.494,32.335,12.719,20.824
10/2025,21.887,25.796,10.687,17.113,11.424,18.655,12.904,9.285,11.376,9.623,12.226,9.668,23.110,9.896,13.774,7.907,8.390,5.576,9.035,13.427,23.021,37.263,13.552,10.765,8.324,11.108,12.318,5.340,13.985,19.976,7.580,16.415,18.936,17.699,15.362
11/2025,12.260,15.158,10.122,10.044,6.982,11.554,8.376,7.362,8.406,7.542,8.530,6.026,11.230,8.944,9.054,6.350,6.940,3.556,5.920,9.456,12.913,14.039,7.790,8.329,6.453,7.456,7.915,4.456,6.809,10.256,6.689,8.099,10.397,9.114,9.697
12/2025,8.616,10.417,7.627,7.105,5.761,7.764,6.964,6.155,7.110,5.995,7.451,5.008,8.360,7.279,7.714,4.847,6.047,2.845,4.935,6.647,8.496,7.973,6.520,6.740,5.204,5.459,6.331,4.032,5.083,6.925,5.821,5.608,7.858,7.574,7.946
1/2026,7.146,7.600,6.210,5.773,4.882,5.948,5.861,5.216,6.131,5.089,6.404,4.087,6.977,5.588,6.608,4.076,5.193,2.416,4.019,6.197,6.895,6.097,5.289,5.717,4.401,4.530,5.307,3.460,4.180,5.672,5.157,4.506,6.516,6.445,6.821
2/2026,6.483,8.480,4.854,4.518,3.830,4.798,4.714,4.079,4.855,4.796,6.142,3.176,5.492,4.917,5.448,3.218,4.112,2.222,3.172,5.229,5.464,5.085,4.086,4.746,3.433,3.594,4.040,2.858,3.728,5.733,4.033,3.482,5.118,5.093,5.256
3/2026,14.994,12.249,6.175,11.456,5.725,5.142,6.270,6.782,7.704,13.566,7.005,13.279,8.167,7.425,6.554,5.999,4.785,3.851,10.613,11.103,6.700,17.267,4.960,7.547,3.828,5.731,7.687,4.008,8.523,11.268,4.967,4.191,6.959,6.385,14.167
