segdesc   = RBPC2H_F
2019-04-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 5/2023       37.642    27.222    26.691    13.507    16.554    13.415    22.076    27.334    33.932    26.712    25.886    15.259    29.179    22.615    24.073    13.343    31.631     6.399    12.672    20.395    36.709    16.343    18.512    28.747    29.262    18.184    16.113    13.645     9.548    12.706    13.098    11.992    22.309    20.947    29.904
 6/2023       34.670    29.166    19.401    15.521    10.670    11.641    27.509    16.159    29.631    18.926    35.932     5.505    26.026    15.982    21.397     4.102    14.202     2.617     8.301    10.505    32.158     6.415    12.009    26.695    14.521    17.566    17.563     6.355     7.178    11.195    17.458     8.812    25.326    33.935    23.968
 7/2023       11.495    12.279     6.054     5.884     3.693     5.158    11.051     5.355     8.550     3.985    20.050     2.867     7.409     6.986     8.660     1.526     3.037     1.198     2.043     2.848     9.879     2.932     3.452     6.519     4.379     4.632     5.340     2.076     3.210     2.859     4.395     4.649    12.121    15.040     7.502
 8/2023        5.594     4.209     3.877     3.348     2.156     3.982     5.249     5.095     7.035     3.253     7.204     1.884     6.632     2.492     6.290     1.214     2.389     0.995     1.522     1.581     3.527     3.696     2.353     2.399     1.708     3.761     2.700     1.283     2.546     1.564     1.887     2.868     7.239     4.816     6.080
 9/2023        5.034     6.233     2.229     2.579     1.843     2.708     3.202     3.334     6.777     4.696     4.088     1.970     5.185     1.700     3.070     1.118     1.417     0.926     2.941     2.213     1.969     3.592     2.811     2.213     2.102     2.649     2.483     1.560     4.011     1.112     1.525     3.090     6.519     1.837     3.262
10/2023        7.178     9.568     1.612     1.823     3.289     3.473     1.620     1.633     2.419     2.130     2.702     1.975     5.001     1.943     1.744     1.788     1.272     1.406     1.299     2.079     3.988     7.006     3.383     1.937     1.885     1.707     4.085     1.158     2.802     1.751     1.256     3.592     2.978     2.374     3.353
11/2023        2.891     3.676     1.958     1.227     1.462     2.295     1.340     1.314     1.571     1.873     1.615     1.445     2.608     2.021     1.269     1.272     1.233     1.003     1.119     1.768     2.072     3.363     1.345     1.645     1.623     1.489     1.816     0.983     1.445     1.130     1.522     1.888     1.718     1.438     1.759
12/2023        1.731     1.856     1.374     1.187     1.142     1.330     1.258     1.229     1.393     1.396     1.489     1.251     1.518     1.666     1.200     0.992     1.118     0.845     1.055     1.174     1.428     1.596     1.695     1.353     1.225     1.303     1.251     0.959     1.078     1.010     1.202     1.161     1.400     1.326     1.483
 1/2024        1.568     1.501     1.229     1.065     1.039     1.086     1.156     1.146     1.341     1.264     1.330     1.140     1.312     1.274     1.124     0.926     1.045     0.791     0.945     1.233     1.288     1.252     1.126     1.240     1.101     1.182     1.168     0.910     0.938     0.947     1.144     0.977     1.284     1.237     1.439
 2/2024        1.791     1.638     1.102     0.977     0.927     1.037     1.083     1.019     1.204     1.555     1.697     1.027     1.169     1.223     1.091     0.869     0.974     0.748     0.863     1.088     1.202     1.231     0.960     1.265     0.966     1.118     1.018     0.880     1.029     1.223     1.080     0.850     1.150     1.117     1.215
 3/2024        6.357     3.585     1.834     3.090     1.975     1.186     1.658     1.958     3.761     5.775     2.223     3.359     2.778     3.102     1.789     1.779     1.535     1.355     3.647     1.746     2.206     7.899     1.682     3.186     1.456     2.681     3.785     1.717     2.735     3.379     1.366     1.221     1.666     1.618     2.795
