segdesc   = YDLC2L_F
2021-02-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
6/2024,1025.594,454.257,530.632,110.483,443.956,200.408,362.723,417.600,178.646,705.734,226.713,888.439,563.300,833.793,516.008,574.208,311.873,243.325,143.116,517.252,200.426,541.887,360.922,186.732,782.384,546.541,657.241,1283.189,73.925,211.176,558.059,318.844,172.147,605.327,836.594
7/2024,225.021,88.926,109.168,28.022,60.326,39.480,67.990,74.349,37.765,174.341,44.978,346.266,110.114,153.411,167.208,137.246,39.714,35.720,20.012,78.522,38.845,115.236,52.708,35.263,186.835,117.609,108.404,481.299,19.301,30.338,76.988,49.297,27.023,199.144,269.325
8/2024,46.491,33.740,31.146,17.777,18.219,19.200,17.213,19.071,14.454,31.909,17.230,44.232,27.518,40.907,36.574,29.197,16.714,16.349,11.157,18.821,15.556,23.218,20.327,16.432,31.315,27.988,24.702,56.722,14.869,15.908,30.420,15.704,10.671,29.824,39.923
9/2024,28.044,20.699,22.576,10.410,17.283,10.044,8.218,12.054,7.208,17.503,9.427,16.432,15.928,105.029,17.571,15.853,23.033,9.351,5.610,14.404,15.803,13.949,31.693,18.681,18.155,15.474,12.315,29.451,8.296,19.563,28.917,8.314,5.648,19.372,14.065
10/2024,35.177,49.165,56.107,13.219,16.070,11.928,24.379,12.810,9.675,35.546,25.327,38.161,23.369,81.764,41.787,19.031,33.178,14.080,14.220,14.243,29.178,30.109,52.548,41.299,19.765,27.234,20.383,33.083,12.137,49.241,30.262,11.412,37.804,26.761,33.011
11/2024,51.535,46.035,53.521,23.531,21.588,20.138,37.409,23.057,20.778,32.768,26.557,40.497,55.990,40.362,41.887,24.380,22.564,20.692,17.872,23.297,39.157,31.357,52.361,35.240,27.780,37.288,52.361,33.669,20.882,49.599,28.192,22.370,36.204,32.706,34.438
12/2024,39.169,36.522,38.416,24.108,23.077,20.464,25.761,21.527,18.923,26.849,23.376,42.015,51.543,32.051,44.663,25.593,22.312,20.377,19.297,26.048,22.940,26.399,31.511,23.220,28.895,28.019,32.490,32.789,22.195,29.125,30.816,25.328,34.240,26.083,27.142
1/2025,33.284,30.860,29.486,20.386,20.533,18.536,19.805,19.272,16.989,24.701,22.332,26.634,34.541,31.198,28.660,26.843,20.854,18.922,15.317,20.576,29.847,23.870,26.558,20.643,25.149,24.644,25.472,30.800,18.693,21.123,23.119,26.091,25.211,22.956,23.218
2/2025,28.180,69.883,43.572,17.061,17.411,16.525,18.303,17.911,15.487,22.009,34.438,31.282,33.318,30.177,39.555,34.279,18.814,16.367,21.065,20.114,28.710,18.849,29.095,17.460,26.783,20.873,20.395,27.104,15.777,23.261,43.797,20.102,23.571,21.396,19.647
3/2025,64.788,240.344,60.280,32.070,93.190,60.468,48.459,57.700,65.109,79.669,93.609,77.527,114.330,89.512,97.716,58.446,58.172,34.824,60.543,109.539,46.188,45.858,141.775,33.730,107.889,36.641,85.099,86.231,46.967,63.164,87.678,38.831,70.975,68.572,34.785
4/2025,341.508,502.397,169.547,173.756,253.018,171.352,125.653,138.954,238.459,174.202,116.093,330.184,301.364,241.209,216.863,187.403,166.401,120.989,194.195,248.217,170.614,328.455,188.574,136.242,268.325,161.650,401.700,170.019,125.206,219.411,116.452,86.276,166.948,102.077,222.980
5/2025,803.687,633.101,346.040,451.848,312.091,242.665,421.039,328.065,723.090,403.440,656.072,756.390,940.990,681.186,542.289,483.047,421.196,148.401,517.201,386.423,574.301,654.675,432.964,647.111,718.188,397.684,909.639,221.636,379.115,609.734,328.463,265.691,525.904,443.053,1156.206
6/2025,453.759,530.885,110.855,459.712,200.665,362.145,416.369,188.906,704.783,226.132,887.235,572.585,832.414,515.310,573.056,326.741,243.144,142.775,516.931,204.999,540.964,360.709,186.046,791.185,546.275,656.086,1281.832,76.331,210.680,557.837,318.491,183.188,604.607,834.238,1044.880
7/2025,88.491,108.538,28.577,64.689,39.745,67.782,73.664,38.946,173.271,44.784,345.150,116.851,152.366,166.080,136.334,41.918,35.672,19.983,78.244,40.678,114.830,52.381,35.039,200.715,117.279,108.227,479.920,19.558,30.107,77.309,49.113,27.651,198.283,268.169,237.458
8/2025,33.911,31.239,18.561,18.816,19.721,17.288,19.197,14.601,31.889,17.339,44.244,28.185,41.004,36.568,29.490,17.352,16.612,11.362,18.896,15.736,23.227,20.281,16.535,32.109,28.153,24.829,56.861,15.198,15.953,31.123,15.754,10.836,30.040,39.869,47.489
9/2025,20.821,22.625,11.001,17.419,10.490,8.290,12.150,7.212,17.453,9.506,16.422,15.834,105.093,17.550,16.099,21.912,9.592,5.795,14.439,14.955,13.931,31.587,18.754,18.156,15.596,12.420,29.557,8.464,19.570,29.436,8.334,5.633,19.542,14.005,27.679
10/2025,49.238,56.123,13.774,16.531,12.384,24.392,12.860,9.675,35.440,25.361,38.097,23.709,81.777,41.693,19.240,35.407,14.278,14.452,14.216,29.737,30.034,52.390,41.310,19.697,27.314,20.441,33.137,12.250,49.214,30.792,11.398,37.487,26.897,32.891,34.867
11/2025,46.141,53.580,24.165,21.793,20.617,37.447,23.160,20.693,32.727,26.624,40.482,54.386,40.420,41.859,24.601,23.139,20.895,18.152,23.324,39.813,31.332,52.264,35.288,27.668,37.397,52.461,33.774,21.072,49.608,28.695,22.387,36.977,32.892,34.373,51.830
12/2025,36.682,38.511,24.794,23.558,20.972,25.848,21.660,19.065,26.851,23.489,42.052,53.843,32.158,44.684,25.867,22.812,20.633,19.610,26.116,23.307,26.431,31.476,23.331,29.158,28.177,32.638,32.937,22.587,29.187,31.393,25.402,34.228,26.301,27.136,39.627
1/2026,31.013,29.575,21.026,20.889,19.021,19.888,19.400,17.030,24.705,22.442,26.672,35.120,31.301,28.680,27.114,21.320,19.165,15.614,20.645,29.679,23.901,26.525,20.750,25.140,24.796,25.607,30.942,18.943,21.184,23.636,26.163,25.921,23.164,23.216,33.240
