segdesc   = NAVC2H_F
2020-01-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 3/2023        3.378     6.214    10.039     7.324     3.473     5.468     3.324     2.293     3.700     4.351     6.065    10.400     3.971     6.317     4.619     3.470     3.167     3.565     2.663     2.386     4.945     3.584     3.696     8.992     3.575     5.805     2.803     4.537     4.575     2.935     3.322     3.790     2.245     2.324     3.452
 4/2023        8.333    19.378    20.940    19.067     7.582    15.270     8.295     9.372    13.965    12.539    15.566    12.051     8.065    10.380     9.769     8.015     8.269    10.986     5.199     4.028     8.022    12.825    11.432    11.231    13.399    10.556    10.448     8.332    12.051     4.130     6.896     3.768     6.807     7.763     7.219
 5/2023       33.325    40.641    31.054    30.349    13.826    18.844    14.615    23.266    30.322    36.595    30.085    26.872    19.098    30.598    26.002    25.603    15.423    32.824     6.941    11.558    21.270    39.679    19.458    21.623    29.431    31.901    18.435    16.511    17.228     9.092    13.862    13.009    12.643    23.569    23.664
 6/2023       28.562    43.229    37.311    25.854    20.226    14.006    15.977    32.841    19.753    35.357    25.026    40.875     6.266    31.200    19.658    26.969     5.225    18.070     3.319     9.304    13.828    38.612     9.055    17.077    33.214    18.551    22.634    22.544     7.762     8.751    14.275    22.733    11.211    28.905    37.424
 7/2023        9.498    15.973    17.365     8.040     7.296     4.544     6.086    14.989     6.506    11.517     5.256    27.386     3.615     9.035     8.903    11.956     2.224     4.040     1.757     2.460     3.498    14.945     4.208     4.803     9.584     5.977     5.766     6.578     2.737     3.693     3.448     5.359     5.487    16.656    20.914
 8/2023        8.290     7.855     5.837     5.161     4.398     3.113     5.221     7.070     7.003     9.520     4.308     8.968     2.702     8.898     3.534     8.665     1.899     3.514     1.543     2.037     2.298     5.003     4.681     3.187     3.574     2.739     3.673     3.801     1.995     2.833     2.169     2.506     3.590     9.569     6.029
 9/2023        4.554     7.201     8.659     3.157     3.469     2.908     3.382     4.436     4.662     9.110     5.970     5.666     2.912     7.050     2.632     4.180     1.760     2.302     1.429     3.607     3.085     3.038     4.409     3.876     3.438     3.376     3.481     3.494     2.379     4.931     1.703     2.201     3.956     8.525     2.873
10/2023        4.616     8.160    10.287     2.604     2.424     3.767     4.435     2.546     2.576     3.346     3.188     4.026     2.768     6.552     3.060     2.659     2.742     2.120     1.990     1.905     3.026     4.789     8.121     4.399     3.043     2.905     2.464     5.167     1.843     3.600     2.520     1.909     4.552     3.988     3.734
11/2023        3.101     3.691     4.705     3.085     1.888     2.103     3.276     2.335     2.310     2.545     3.124     2.599     2.504     3.191     3.577     2.113     1.995     2.041     1.692     1.791     2.540     2.815     3.248     2.063     2.590     2.560     2.231     2.604     1.631     1.968     1.695     2.168     2.563     2.905     2.443
12/2023        2.546     2.807     3.076     2.359     2.009     1.861     2.100     2.172     2.120     2.375     2.473     2.496     2.100     2.471     2.788     2.031     1.670     1.880     1.367     1.735     1.887     2.348     2.201     2.441     2.205     2.089     2.139     2.008     1.563     1.647     1.579     1.906     1.723     2.341     2.288
 1/2024        2.443     2.874     2.546     2.100     1.741     1.732     1.740     1.978     1.958     2.369     2.213     2.283     1.947     2.212     2.259     1.926     1.564     1.766     1.325     1.471     2.170     2.243     1.972     1.821     2.145     1.894     1.887     1.994     1.492     1.484     1.528     1.760     1.503     2.154     2.133
 2/2024        2.226     3.473     3.377     1.895     1.634     1.581     1.828     1.907     1.740     2.140     3.190     2.991     1.797     2.019     2.415     2.010     1.545     1.704     1.228     1.424     1.902     2.167     2.187     1.572     2.363     1.666     1.940     1.727     1.475     1.831     1.906     1.601     1.316     1.973     1.878
 3/2024        6.333    10.446     7.379     3.487     5.600     3.455     2.332     3.717     4.434     6.177    10.452     3.986     6.513     4.758     3.523     3.199     3.676     2.739     2.391     4.966     3.631     3.749     9.157     3.622     5.794     2.943     4.684     4.601     3.015     3.325     3.895     2.222     2.344     3.495     3.370
 4/2024       20.324    21.257    19.997     7.604    15.251     8.486     9.486    14.043    12.984    15.655    12.433     8.130    10.456    10.093     8.630     8.355    11.600     5.204     4.078     8.063    13.070    11.584    11.672    13.523    11.091    10.621     8.549    12.112     4.266     6.946     3.821     6.806     8.186     7.774     8.326
 5/2024       40.675    31.204    29.706    13.868    19.146    14.695    23.959    30.388    37.477    30.729    27.191    19.114    31.429    26.573    25.913    15.484    32.906     7.048    12.087    21.350    40.802    19.504    21.484    29.516    32.075    18.849    16.859    17.264     9.220    14.420    13.569    12.657    23.908    24.451    33.375
 6/2024       43.009    37.490    26.106    20.245    13.830    15.970    33.033    19.766    34.784    24.420    41.246     6.272    30.670    19.251    26.782     5.245    17.561     3.198     8.809    13.845    38.090     8.837    16.871    33.237    18.226    22.253    22.475     7.775     8.574    13.781    22.384    11.205    29.173    36.954    28.570
 7/2024       15.658    16.586     7.651     7.300     4.500     6.046    14.336     6.511    10.742     5.079    26.653     3.622     9.358     8.588    11.471     2.239     3.961     1.751     2.427     3.501    14.195     4.189     4.719     9.594     5.755     5.669     6.290     2.747     3.681     3.402     5.210     5.475    16.094    20.185     9.495
 8/2024        7.560     5.990     5.182     4.401     3.071     5.260     6.843     7.009    10.247     4.306     8.849     2.708     8.211     3.502     8.546     1.913     3.512     1.543     2.033     2.300     4.953     4.683     3.122     3.583     2.720     3.665     3.844     2.005     2.834     2.136     2.482     3.579     9.324     5.844     8.286
 9/2024        7.311     8.550     3.098     3.472     2.945     3.424     4.402     4.667     8.326     5.964     5.649     2.918     7.143     2.620     4.144     1.772     2.292     1.433     3.594     3.087     3.085     4.490     3.936     3.447     3.379     3.432     3.480     2.388     5.015     1.697     2.201     3.946     8.520     3.056     4.550
10/2024        8.111    10.232     2.613     2.426     3.730     4.409     2.523     2.579     3.307     3.208     3.838     2.774     6.401     3.146     2.617     2.756     2.122     1.984     1.841     3.028     4.717     8.041     4.289     3.051     2.881     2.455     5.171     1.851     3.474     2.521     1.907     4.541     3.818     3.503     4.613
11/2024        3.610     4.552     3.065     1.890     2.091     3.205     2.336     2.314     2.526     3.078     2.587     2.510     3.122     3.547     2.109     2.007     2.036     1.691     1.784     2.541     2.778     3.156     2.044     2.597     2.547     2.214     2.556     1.639     1.946     1.680     2.162     2.554     2.893     2.427     3.097
12/2024        2.787     3.048     2.348     2.011     1.861     2.095     2.165     2.123     2.367     2.474     2.488     2.105     2.454     2.756     2.030     1.681     1.880     1.358     1.718     1.888     2.345     2.181     2.441     2.212     2.076     2.141     2.010     1.571     1.641     1.571     1.913     1.715     2.324     2.277     2.543
 1/2025        2.901     2.573     2.096     1.742     1.734     1.749     1.981     1.961     2.371     2.198     2.278     1.952     2.213     2.266     1.925     1.575     1.768     1.325     1.455     2.171     2.233     1.962     1.813     2.152     1.890     1.892     2.007     1.499     1.487     1.535     1.741     1.495     2.148     2.125     2.440
