segdesc   = NVRN5L_F
2021-01-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
4/2024,139.100,311.335,311.970,234.573,97.137,208.831,114.988,118.057,230.943,287.724,174.101,181.862,79.225,198.860,133.602,109.613,120.514,184.318,44.271,56.117,192.905,261.815,139.831,137.649,269.338,118.997,194.576,119.828,141.858,50.740,100.746,56.635,66.541,113.753,135.994
5/2024,386.704,474.060,321.449,358.024,145.130,232.069,202.792,221.160,307.903,436.978,291.115,322.518,183.039,385.689,274.250,269.826,165.630,420.008,51.361,140.696,273.060,497.083,205.521,273.382,357.455,355.832,181.842,175.772,187.972,91.260,174.318,154.961,135.531,269.687,275.471
6/2024,310.773,482.727,418.614,320.124,199.525,139.209,178.451,314.302,153.957,377.715,202.479,434.435,52.075,384.383,192.914,319.536,43.736,178.402,24.702,96.574,117.482,398.201,61.636,147.580,338.482,161.001,210.843,245.410,59.346,76.679,172.326,210.923,113.413,278.145,400.690
7/2024,75.716,113.606,158.477,69.823,40.153,22.256,58.284,97.853,44.021,87.282,25.743,255.815,8.511,74.814,62.734,143.978,0.000,22.471,17.412,3.576,15.832,102.951,27.549,22.854,72.046,25.839,31.042,46.451,11.264,31.589,17.797,37.409,38.380,101.057,188.407
8/2024,64.752,41.747,35.279,36.552,57.132,27.014,35.740,40.083,53.898,76.282,20.590,73.353,3.932,63.051,26.817,123.887,2.305,40.399,15.909,21.697,4.838,34.688,37.398,39.634,29.798,6.204,37.396,15.433,18.009,31.063,12.177,8.439,25.960,64.651,55.256
9/2024,43.190,75.097,57.658,19.339,37.021,18.438,29.647,69.384,38.503,76.638,42.038,38.062,26.589,92.170,15.603,77.516,8.612,11.513,23.676,43.499,36.741,28.547,36.589,30.283,35.376,11.097,42.235,15.244,20.085,78.221,14.797,10.017,26.587,82.835,17.474
10/2024,70.573,110.874,89.636,20.742,33.014,34.816,49.876,22.818,20.140,33.289,31.799,35.458,29.590,81.158,45.823,27.557,32.243,14.975,22.653,19.636,43.596,75.528,127.149,39.834,28.842,23.083,32.671,56.858,15.784,42.705,43.274,12.803,63.776,47.239,54.685
11/2024,41.339,54.051,73.836,49.214,28.622,22.413,40.415,37.990,26.800,33.107,46.233,28.313,31.265,42.913,63.419,24.032,26.895,21.186,24.895,23.313,40.700,39.364,47.508,22.600,31.462,24.018,25.943,32.283,15.927,28.563,24.472,21.183,30.920,38.379,30.988
12/2024,44.344,36.220,39.657,27.593,22.200,18.459,24.038,25.068,22.806,29.017,31.391,25.662,28.976,30.110,41.051,22.166,18.253,20.717,14.370,21.609,26.579,27.403,26.611,47.809,26.801,19.464,29.155,23.344,15.302,20.020,20.094,21.003,18.053,29.313,26.140
1/2025,40.579,32.906,29.356,21.108,19.418,17.197,17.910,19.887,26.835,25.266,24.688,23.798,23.575,27.414,25.690,23.211,17.047,18.744,12.265,17.443,53.123,24.100,22.680,32.970,25.766,18.573,22.165,23.685,20.269,16.349,19.822,17.723,15.331,25.832,22.037
