segdesc   = DRGC2H_F
2020-11-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 7/2023      144.144   110.425    92.713   145.785    76.457    57.691    38.146    50.930    92.721    54.625    89.819    41.085   182.212    40.174    80.418    66.771   135.833    25.575    41.163    13.830    26.610    36.517    94.976    38.062    51.232    69.295    52.225    44.228   100.552    21.791    21.370    47.388    77.980    48.528   110.676
 8/2023       46.639    65.675    37.591    47.593    46.631    34.380    30.147    31.586    30.942    38.580    38.819    21.487    57.867    21.062    69.825    28.298    92.152    20.306    34.264     9.854    18.112    20.542    42.115    28.524    40.892    31.421    22.733    32.453    32.216    15.656    24.393    27.957    29.489    25.418    76.370
 9/2023       23.939    37.232    44.818    48.932    31.515    25.675    17.959    20.312    42.527    25.733    40.521    29.277    31.820    19.024    58.454    22.228    60.264    19.219    18.647    20.019    26.981    30.122    22.366    23.632    37.400    33.749    16.720    16.768    22.076    12.184    37.063    31.118    18.700    14.167    69.884
10/2023       26.192    30.330    46.690    51.700    20.663    24.324    20.441    27.716    20.563    17.241    23.663    21.935    28.558    26.847    50.750    20.516    25.264    19.940    15.565    16.570    15.410    29.088    33.709    69.319    40.564    21.249    16.322    19.948    26.934    11.300    28.805    42.650    13.675    23.800    36.505
11/2023       17.336    22.474    26.534    34.712    24.014    16.048    13.924    20.549    16.350    14.583    18.422    18.703    19.018    18.162    25.637    22.210    17.212    16.556    14.170    10.829    10.468    21.637    20.919    26.555    19.910    17.423    14.222    15.228    19.754    10.037    15.077    22.518    12.003    14.104    21.773
12/2023       15.936    18.955    20.220    22.934    17.891    13.186    11.888    14.057    14.273    13.273    16.721    15.587    17.450    15.740    18.785    19.728    15.381    13.148    12.855     9.437     9.880    15.477    16.580    15.579    16.005    15.563    12.361    12.623    15.900     9.575    11.392    14.443    12.161    10.475    17.760
 1/2024       14.871    17.554    17.289    17.354    15.079    11.461    10.670    11.050    12.227    11.975    15.222    13.455    15.491    12.742    16.207    14.947    13.970    11.561    11.773     8.548     8.735    16.055    15.079    12.541    13.396    13.742    11.204    11.647    14.391     8.840     9.377    12.143    11.533     8.834    14.701
 2/2024       12.585    14.041    17.344    22.001    12.877     9.780     9.182    10.068    10.704    10.318    13.306    14.207    16.793    10.444    13.870    13.977    12.783     9.677    10.235     8.375     7.425    13.944    13.272    12.633    10.722    12.945     9.664     9.585    11.929     7.659     9.793    14.878    10.009     7.524    12.422
 3/2024       15.891    26.626    36.923    32.569    18.399    21.130    14.461    11.326    17.170    17.471    22.628    36.660    20.621    33.460    23.241    19.459    17.146    15.302    12.450    12.926    21.079    26.754    17.222    38.349    13.912    23.077     9.952    15.899    24.245    11.071    13.985    23.189    12.131     9.319    16.121
 4/2024       35.622   100.582    95.962   103.236    35.825    74.188    34.260    32.415    68.575    65.834    49.453    52.114    41.174    71.664    49.638    31.732    57.775    53.656    23.065    22.664    69.684    93.533    48.452    62.059    45.250    37.649    32.161    34.925    56.155    24.611    38.344    31.711    26.428    20.878    30.049
