segdesc   = LEMC2H_F
2020-11-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 6/2023       41.154    29.797    46.224    36.661    39.286    21.443    12.759    20.304    25.727    16.711    36.335    19.895    39.059     4.780    37.267    19.647    29.162     6.459    16.378     1.434     9.741    14.096    37.786     5.623    13.009    31.718    10.557    17.823    23.214     5.865     5.923    17.728    20.719    14.263    24.972
 7/2023       19.626     7.691     9.422    13.776     8.798     6.553     3.801     8.904     8.783     5.994     9.466     4.190    21.367     1.895     7.120     6.880    14.058     2.123     3.760     0.758     2.510     3.462    11.885     3.682     3.787     8.030     2.973     3.737     5.114     2.435     1.741     3.749     5.896     5.837     8.611
 8/2023        7.413     6.113     3.211     5.042     4.632     9.531     4.795     6.497     4.359     4.452     3.773     3.513     6.400     1.753     5.653     3.296    12.691     1.922     5.205     0.590     1.959     1.862     4.417     3.446     5.823     3.179     1.660     3.396     2.450     1.364     2.040     3.205     2.376     3.372     6.916
 9/2023        2.500     4.159     3.767     4.844     2.584     6.581     1.872     4.160     8.428     3.309     3.762     3.450     3.263     2.187     7.406     2.647     6.663     1.459     1.980     1.701     3.604     1.753     4.295     3.381     2.848     3.441     1.693     1.980     1.820     1.017     5.638     2.663     1.928     1.644     7.008
10/2023        3.545     3.259     4.104     5.239     1.957     4.390     2.244     4.413     2.519     1.808     1.981     1.808     2.074     2.328     5.948     1.836     2.309     1.498     1.420     1.143     1.430     2.513     6.117     8.004     1.817     2.235     1.605     2.457     3.083     0.871     2.660     3.919     1.191     4.339     4.203
11/2023        1.757     1.709     2.276     2.501     2.201     2.205     1.334     2.677     1.630     1.358     1.415     1.539     1.413     1.148     2.353     1.941     1.461     1.311     1.122     0.696     0.989     1.979     3.151     2.713     1.101     1.563     1.199     1.470     1.660     0.711     1.293     2.035     1.108     1.897     1.992
12/2023        1.295     1.296     1.415     1.528     1.379     1.315     1.006     1.515     1.232     1.083     1.173     1.085     1.205     0.903     1.473     1.478     1.214     0.853     0.980     0.498     0.830     1.230     1.629     1.371     1.034     1.143     0.863     0.943     1.056     0.622     0.881     1.177     0.925     1.091     1.356
 1/2024        1.071     1.048     1.173     1.154     1.053     1.018     0.825     1.062     0.976     0.889     0.989     0.866     1.025     0.683     1.158     1.050     1.033     0.675     0.832     0.390     0.649     1.257     1.217     1.010     0.803     0.937     0.705     0.762     0.873     0.532     0.689     0.908     0.832     0.800     1.075
 2/2024        0.852     0.849     1.244     1.109     0.832     0.802     0.657     0.891     0.803     0.706     0.801     0.847     1.131     0.527     0.916     0.939     0.896     0.534     0.673     0.395     0.508     1.004     0.966     0.884     0.625     0.795     0.559     0.609     0.673     0.450     0.690     1.076     0.715     0.619     0.852
 3/2024        1.068     1.858     3.156     1.310     1.394     3.050     1.293     0.910     1.337     1.225     1.803     2.408     1.426     2.247     1.704     1.741     1.303     1.151     0.854     0.861     2.834     1.477     1.290     3.602     0.822     1.937     0.569     1.259     2.041     0.708     1.163     2.119     0.892     0.769     1.129
 4/2024        3.408     9.155     9.566    10.908     4.321    13.926     4.873     3.368    10.948     5.733     5.682     4.982     2.935     6.137     3.976     3.108     6.515     6.636     2.227     2.421    10.046     8.181     5.426     6.321     3.532     3.534     2.969     3.408     7.327     1.976     4.124     2.665     4.063     2.286     1.893
 5/2024       31.205    31.428    25.836    34.046    12.573    19.711    15.375    14.907    27.285    29.981    23.923    17.507    13.658    28.995    22.791    18.362    16.333    32.814     3.764    12.558    26.430    31.556    15.620    21.343    21.513    25.130    10.523    12.998    16.401     7.813    15.579    11.689    11.775    16.683    17.069
 6/2024       28.810    45.576    36.767    39.304    21.683    12.447    20.090    25.780    16.590    35.775    19.295    39.097     4.632    36.829    18.999    29.201     6.049    15.743     1.400     9.762    14.000    37.328     5.479    13.033    30.821    10.240    17.383    23.245     5.714     5.818    16.982    20.728    14.010    24.936    41.204
 7/2024        7.564     9.023    13.137     8.800     6.025     3.811     8.830     8.804     5.923     8.804     4.088    21.372     1.828     7.267     6.719    14.066     2.093     3.682     0.752     2.519     3.366    11.171     3.686     3.794     7.856     2.910     3.647     5.120     2.417     1.718     3.703     5.898     5.810     8.071    19.694
 8/2024        5.918     3.125     5.103     4.634     9.753     4.729     6.506     4.365     4.479     3.897     3.501     6.401     1.776     5.219     3.238    12.696     1.986     5.209     0.589     1.966     1.849     4.368     3.440     5.829     3.100     1.649     3.376     2.455     1.355     2.042     3.151     2.377     3.327     6.972     7.423
 9/2024        4.063     3.828     4.673     2.585     6.373     1.863     4.251     8.433     3.221     3.583     3.435     3.264     2.190     7.556     2.626     6.666     1.387     1.948     1.724     3.612     1.803     4.474     3.427     2.851     3.430     1.698     1.973     1.823     1.014     5.701     2.873     1.929     1.619     6.970     2.502
10/2024        3.217     4.113     5.214     1.957     4.322     2.231     4.307     2.522     1.771     1.958     1.807     2.075     2.300     5.737     1.864     2.310     1.524     1.412     1.126     1.435     2.492     5.943     7.989     1.819     2.240     1.587     2.438     3.087     0.870     2.556     3.717     1.191     4.341     4.101     3.547
11/2024        1.686     2.219     2.404     2.202     2.131     1.319     2.592     1.632     1.352     1.401     1.507     1.413     1.146     2.299     1.921     1.462     1.280     1.119     0.687     0.993     1.946     3.046     2.601     1.103     1.528     1.185     1.446     1.663     0.710     1.265     1.968     1.108     1.845     1.958     1.757
12/2024        1.283     1.402     1.508     1.379     1.299     1.001     1.484     1.234     1.076     1.166     1.077     1.205     0.893     1.457     1.453     1.215     0.846     0.978     0.491     0.834     1.226     1.602     1.348     1.036     1.136     0.858     0.936     1.058     0.621     0.868     1.160     0.925     1.073     1.343     1.295
 1/2025        1.040     1.174     1.145     1.054     1.011     0.822     1.053     0.977     0.885     0.984     0.862     1.025     0.680     1.151     1.045     1.034     0.672     0.830     0.389     0.652     1.250     1.206     1.001     0.805     0.933     0.703     0.757     0.875     0.534     0.685     0.905     0.832     0.794     1.068     1.071
 2/2025        0.817     1.198     1.071     0.800     0.772     0.635     0.859     0.779     0.680     0.771     0.818     1.088     0.509     0.881     0.907     0.866     0.516     0.650     0.381     0.493     0.966     0.929     0.852     0.606     0.766     0.539     0.587     0.652     0.433     0.664     1.038     0.655     0.596     0.821     0.825
 3/2025        1.851     3.131     1.306     1.379     3.041     1.290     0.910     1.295     1.223     1.799     2.381     1.419     2.240     1.696     1.736     1.256     1.150     0.855     0.859     2.742     1.465     1.285     3.558     0.782     1.928     0.570     1.255     1.921     0.709     1.155     2.111     0.922     0.768     1.128     1.054
 4/2025        9.105     9.523    10.850     4.137    13.877     4.859     3.326    10.190     5.718     5.659     4.962     2.930     6.116     3.951     3.094     6.172     6.618     2.223     2.417     9.828     8.161     5.394     6.286     3.333     3.522     2.964     3.394     7.293     1.975     4.092     2.643     3.738     2.276     1.883     3.369
 5/2025       31.383    25.826    33.998    12.223    19.656    15.318    14.864    27.665    29.899    23.842    17.439    13.364    28.941    22.731    18.284    16.191    32.767     3.732    12.535    26.413    31.521    15.603    21.319    20.481    25.046    10.472    12.929    16.270     7.794    15.540    11.674    11.626    16.629    17.007    29.731
 6/2025       45.563    36.705    39.287    21.443    12.401    20.073    25.730    16.712    35.748    19.277    39.061     4.781    36.778    18.989    29.163     6.461    15.736     1.389     9.755    14.101    37.311     5.475    13.011    31.725    10.231    17.349    23.220     5.867     5.808    16.972    20.720    14.268    24.927    41.158    29.798
 7/2025        9.022    13.101     8.798     6.553     3.802     8.828     8.784     5.995     8.801     4.085    21.367     1.896     7.258     6.715    14.059     2.125     3.680     0.749     2.517     3.464    11.166     3.684     3.789     8.032     2.907     3.642     5.117     2.437     1.716     3.700     5.896     5.841     8.068    19.626     7.691
 8/2025        3.124     5.099     4.632     9.531     4.724     6.505     4.361     4.453     3.896     3.500     6.401     1.754     5.216     3.236    12.693     1.924     5.208     0.587     1.965     1.863     4.367     3.438     5.824     3.181     1.647     3.373     2.453     1.366     2.041     3.148     2.377     3.376     6.971     7.414     6.113
 9/2025        3.827     4.672     2.584     6.581     1.861     4.251     8.429     3.310     3.582     3.434     3.264     2.188     7.554     2.625     6.664     1.461     1.948     1.722     3.611     1.755     4.473     3.425     2.849     3.443     1.696     1.972     1.822     1.018     5.700     2.871     1.928     1.647     6.969     2.500     4.159
10/2025        4.112     5.213     1.957     4.390     2.229     4.306     2.521     1.808     1.958     1.806     2.075     2.329     5.736     1.863     2.309     1.500     1.412     1.125     1.435     2.514     5.942     7.987     1.817     2.236     1.586     2.436     3.085     0.872     2.555     3.716     1.191     4.342     4.100     3.545     3.259
