segdesc   = GBRW4R_F
2018-05-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 1/2021       41.390    33.285    27.640    40.823    26.473    20.337    27.287    28.132    30.459    19.869    32.622    24.210    36.843    45.614    40.215    33.491    34.782    25.806    20.231    22.373    22.818    29.564    35.997    32.542    22.351    30.296    33.631    26.120    41.360    27.550    20.820    41.680    38.052    28.801    42.920
 2/2021       34.962    28.787    63.121    35.980    22.631    19.412    24.210    28.280    26.393    18.605    27.539    32.520    40.183    36.774    33.571    30.365    33.815    22.495    17.650    28.000    21.061    26.009    30.101    30.015    19.030    28.247    28.250    24.392    36.875    24.059    25.117    43.809    32.990    28.992    37.234
 3/2021       44.470    37.018   122.912    51.099    36.423    52.600    42.966    35.682    48.771    40.847    49.462    61.626    56.567    61.267    52.692    48.147    43.983    36.212    26.509    36.625    52.858    47.414    38.877    66.718    27.478    47.842    38.460    32.485    67.240    38.590    38.554    75.464    47.689    45.766    51.181
 4/2021       58.006    90.559   205.503    99.320    71.756   107.746    88.907    59.709    65.837    62.642    88.111    61.652   111.980    90.178    84.142    65.984    80.427    46.983    55.873    61.035   106.410    71.572    97.113    69.881    32.607    77.256    52.385    56.978   130.587    45.750    68.135    81.651    59.756    56.450    61.413
 5/2021      169.146   236.620   308.589   278.290   117.058   138.597    87.346    96.973   152.270   184.733   182.941    62.287   153.788   339.191   160.652   176.350   171.125   102.759    49.695    69.544   101.043   136.124   232.562   173.101   106.594   135.422    27.187   144.539   178.630    70.811   169.441   188.004   111.714   211.292   154.037
 6/2021      387.314   205.048   872.564   194.495   131.400   248.445   258.229   372.023    58.404   348.509   159.425   413.776   580.329   711.486   309.668   534.333   219.313   120.581   187.468   211.710   243.966   359.983   280.147    65.389   270.300   446.021   200.422   394.942   208.034    95.949   444.085   297.582   175.294   445.557   556.340
 7/2021      240.496    81.737   316.088    84.189    25.735   148.227   167.946   172.492    32.132   226.066    31.444   413.159   285.551   315.027   355.767   324.319    66.027    31.841    80.017    73.633   168.492   258.612    79.122    11.812   193.385   348.113   179.979   604.774    73.317    37.443   288.686   133.817    66.580   450.309   397.251
 8/2021       87.963    43.404   111.882    59.758    24.891    58.678    55.902    74.472    20.909   178.342    27.243   145.222    91.021   151.859   120.886   113.229    38.272    21.457    34.209    34.254    66.926    84.049    45.995    28.197    61.680   108.665    59.752   177.335    38.659    24.385    97.899    52.636    32.613   170.135   160.502
 9/2021       65.354    44.388    66.759    39.927    23.004    45.256    41.868    59.631    24.692    68.842    26.029    62.650    55.028    95.809    57.478    78.540    42.998    20.470    34.640    34.591    54.120    47.355    37.314    27.037    46.243    52.509    39.600    78.371    30.732    30.788    66.690    40.845    24.065    98.965    83.786
10/2021       70.084    47.900    69.410    33.611    24.255    41.243    47.595    40.427    23.432    52.822    37.005    54.276    51.998    82.618    54.908    51.638    40.018    22.875    35.313    28.049    48.916    46.469    53.880    43.800    39.935    51.803    33.150    66.904    31.996    34.970   116.292    38.808    32.197   103.488    81.205
11/2021       46.807    45.018    59.018    33.870    27.049    36.312    41.258    40.776    25.383    44.047    34.340    48.231    50.112    56.974    44.586    45.489    35.729    32.000    30.674    29.390    48.368    41.647    40.789    36.355    41.742    48.060    34.115    55.994    38.390    30.115    60.591    37.719    35.754    61.219    62.128
