segdesc   = TPIC2L_F
2018-05-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 6/2021       90.289    62.036    61.167    38.759    27.128    30.637    31.443    40.319    25.417    63.599    40.145    84.247    58.319    78.184    28.924    46.234    24.629    26.002    11.463    34.624    21.086    34.312    35.695    25.224    73.177    45.548    39.332    69.470     9.306    26.909    49.187    45.554    23.677    44.812    50.238
 7/2021       47.811    23.095    30.437    15.934    12.083    12.959    12.554    16.688    11.454    35.775    15.576    83.649    26.007    33.441    13.774    29.452     9.761     9.940     5.145    12.469     8.721    15.134    12.537    10.462    38.364    25.356    13.682    41.737     6.333    10.849    17.573    15.841     9.111    27.476    32.587
 8/2021       18.127    11.169    12.647     9.716     6.701     7.925     6.712     7.936     8.192    12.774     7.862    27.477    10.878    14.220     7.368    11.613     6.522     6.535     3.674     6.515     5.765     8.118     7.648     6.867    13.443    10.282     8.292    14.411     4.958     6.923     9.014     8.002     5.916    11.052    13.061
 9/2021       10.584     9.002    10.626     7.522     5.990     5.821     5.282     5.952     6.708     8.879     6.245    13.783     8.159     9.715     5.609     7.472     5.202     4.968     3.244     7.014     5.012     5.648     6.468     5.952     8.608     7.187     5.848     8.389     4.389     6.182     8.257     6.348     4.723     8.734     7.477
10/2021        9.122    14.188    10.675     6.407     5.153     5.366     6.870     5.318     5.049     8.548     6.079    11.266     7.988     9.105     6.108     6.541     4.771     4.391     4.209     5.412     4.665     6.541     8.311     6.030     7.784     7.256     5.443     8.181     3.971     6.392     9.965     5.606     4.557     6.998     6.436
11/2021        7.540     9.528     8.143     5.723     4.150     4.522     6.454     4.578     4.321     7.102     5.544     8.729     6.718     7.343     4.853     5.440     4.052     4.500     2.828     4.199     4.188     5.678     6.176     4.794     6.748     6.520     5.451     6.644     3.387     4.458     6.453     5.440     4.352     5.379     5.534
12/2021        6.949     6.991     6.577     5.237     3.812     4.105     4.732     4.252     3.933     6.097     4.821     7.842     6.267     6.605     4.579     5.022     3.754     3.794     2.464     3.829     3.608     4.423     4.830     3.946     6.058     5.491     4.482     5.959     3.126     3.825     5.163     4.879     3.721     4.882     5.073
 1/2022        6.246     6.168     5.936     4.710     3.422     3.694     3.887     3.823     3.526     5.468     4.273     6.917     5.517     5.970     3.926     4.512     3.374     3.319     2.188     3.429     3.211     3.845     4.270     3.485     5.469     4.864     3.924     5.353     2.811     3.499     4.569     4.482     3.269     4.425     4.550
 2/2022        5.152     5.057     4.882     3.870     2.794     3.034     3.139     3.121     2.909     4.477     3.510     5.660     4.510     4.896     3.199     3.709     2.760     2.711     1.782     2.797     2.630     3.134     3.504     2.870     4.488     3.980     3.208     4.404     2.313     2.892     3.851     3.755     2.671     3.626     3.722
 3/2022        5.539     5.785     5.101     3.948     3.511     3.943     3.472     3.409     3.214     4.973     4.381     5.624     4.980     5.294     3.971     3.771     2.980     2.724     2.059     4.756     2.594     3.089     6.534     2.845     5.049     3.946     3.376     5.911     2.354     2.800     5.800     3.942     2.677     4.426     3.733
