segdesc   = RBPC2H_F
2018-05-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 2/2022        1.167     1.665     1.590     1.063     0.933     0.883     0.988     1.042     0.981     1.159     1.461     1.644     0.989     1.127     1.164     1.052     0.829     0.931     0.720     0.830     1.042     1.143     1.188     0.925     1.200     0.931     1.075     0.972     0.846     0.980     1.179     1.042     0.819     1.109     1.076
 3/2022        2.766     6.043     3.579     1.829     3.011     1.926     1.167     1.652     1.902     3.702     5.723     2.219     3.225     2.701     2.943     1.783     1.708     1.445     1.325     3.621     1.720     2.185     7.739     1.676     3.151     1.391     2.604     3.747     1.649     2.656     3.181     1.378     1.218     1.660     1.611
 4/2022       14.495    16.865    15.160     7.840    14.484     8.946     6.637    11.374     7.414    12.728     9.151     8.168     9.204     6.600     8.186     8.482     9.517     5.454     4.383     9.908     9.796    11.494    11.270     9.038     9.031     8.791     9.286    12.455     4.555     8.187     5.279     7.971     4.949     4.062     4.731
 5/2022       37.637    27.221    26.690    13.507    16.553    13.405    22.065    27.327    33.921    26.707    25.884    15.258    29.177    22.612    24.062    13.338    31.621     6.393    12.657    20.387    36.671    16.342    18.511    28.745    29.255    18.178    16.107    13.640     9.540    12.698    13.082    11.885    22.608    21.810    29.787
 6/2022       34.668    29.165    19.401    15.521    10.669    11.635    27.502    16.153    29.628    18.923    35.931     5.505    26.025    15.980    21.392     4.098    14.195     2.611     8.291    10.498    32.150     6.414    12.008    26.694    14.516    17.562    17.559     6.351     7.171    11.188    17.448     8.785    25.332    33.400    23.912
 7/2022       11.494    12.279     6.053     5.884     3.692     5.152    11.045     5.350     8.547     3.982    20.049     2.866     7.408     6.984     8.654     1.522     3.031     1.192     2.033     2.841     9.875     2.931     3.451     6.519     4.374     4.628     5.336     2.071     3.202     2.852     4.386     4.520    11.746    14.475     7.489
 8/2022        5.593     4.209     3.877     3.348     2.155     3.976     5.243     5.089     7.033     3.249     7.204     1.883     6.630     2.490     6.284     1.210     2.384     0.989     1.512     1.576     3.525     3.695     2.352     2.398     1.703     3.755     2.696     1.279     2.539     1.557     1.879     2.872     7.043     4.622     6.070
 9/2022        5.033     6.232     2.229     2.578     1.842     2.702     3.197     3.329     6.775     4.693     4.088     1.969     5.183     1.698     3.065     1.114     1.412     0.921     2.930     2.207     1.967     3.591     2.810     2.212     2.097     2.644     2.479     1.556     4.004     1.106     1.518     3.035     6.502     1.974     3.256
10/2022        7.177     9.567     1.612     1.823     3.287     3.467     1.615     1.629     2.418     2.128     2.702     1.974     4.999     1.942     1.740     1.784     1.267     1.401     1.290     2.074     3.986     7.004     3.382     1.936     1.881     1.703     4.080     1.155     2.795     1.745     1.249     3.574     2.826     2.196     3.347
11/2022        2.890     3.675     1.958     1.227     1.461     2.290     1.335     1.310     1.570     1.870     1.615     1.444     2.607     2.019     1.265     1.269     1.229     0.998     1.110     1.763     2.071     3.362     1.344     1.644     1.620     1.486     1.813     0.980     1.439     1.125     1.515     1.843     1.693     1.426     1.753
12/2022        1.731     1.856     1.374     1.187     1.141     1.326     1.254     1.226     1.392     1.394     1.488     1.251     1.517     1.664     1.196     0.989     1.113     0.841     1.047     1.169     1.426     1.596     1.695     1.352     1.222     1.299     1.248     0.956     1.072     1.005     1.195     1.145     1.388     1.320     1.478
 1/2023        1.567     1.501     1.229     1.065     1.038     1.082     1.152     1.143     1.340     1.262     1.330     1.140     1.311     1.273     1.121     0.923     1.041     0.787     0.938     1.227     1.286     1.252     1.126     1.239     1.097     1.179     1.164     0.907     0.933     0.942     1.138     0.970     1.279     1.232     1.434
 2/2023        1.667     1.591     1.053     0.935     0.890     0.995     1.044     0.981     1.159     1.463     1.631     0.991     1.128     1.173     1.047     0.835     0.934     0.720     0.821     1.047     1.142     1.188     0.926     1.211     0.930     1.075     0.980     0.849     0.980     1.181     1.030     0.817     1.108     1.075     1.166
 3/2023        6.049     3.582     1.803     3.015     1.938     1.176     1.620     1.903     3.702     5.729     2.232     3.230     2.703     2.951     1.738     1.718     1.449     1.326     3.502     1.728     2.184     7.738     1.566     3.172     1.389     2.604     3.529     1.653     2.657     3.183     1.368     1.214     1.657     1.610     2.761
 4/2023       16.869    15.162     7.560    14.487     8.954     6.654    10.677     7.415    12.728     9.154     8.007     9.210     6.602     8.196     8.145     9.532     5.457     4.384     9.761     9.814    11.493    11.269     8.720     9.048     8.789     9.287    12.471     4.557     8.188     5.281     7.568     4.941     4.058     4.730    14.487
 5/2023       27.221    26.691    13.415    16.554    13.414    22.074    27.484    33.921    26.706    25.885    15.230    29.179    22.613    24.073    13.513    31.626     6.395    12.660    20.365    36.686    16.341    18.510    28.138    29.262    18.177    16.107    13.714     9.542    12.699    13.084    12.057    22.602    21.808    29.786    37.634
