segdesc   = NVRN5L_F
2018-05-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 8/2021       64.585    41.446    34.986    36.412    56.853    26.779    35.538    38.396    53.672    76.048    20.354    72.370     3.557    62.766    26.429   122.808     1.924    40.201    16.011    22.306     4.446    34.538    37.199    38.920    29.355     6.005    37.385    14.409    17.750    30.981    12.058     8.026    25.316    64.377    52.972
 9/2021       42.939    74.721    57.330    18.381    36.684    18.119    29.359    69.254    38.196    76.334    41.722    39.945    26.335    91.802    15.143    75.619     8.544    11.221    23.756    43.140    36.261    28.308    36.318    30.204    34.865    10.815    42.241    14.703    20.154    77.779    14.571     9.795    26.163    82.871    20.527
10/2021       70.582   110.689    89.529    20.886    32.881    34.706    49.842    22.194    20.029    33.202    31.713    31.492    29.434    81.038    45.521    26.539    32.013    14.887    22.757    19.342    43.328    75.496   127.098    38.675    28.562    23.454    32.567    56.791    15.851    42.535    43.275    13.181    63.618    45.717    50.507
11/2021       41.302    53.856    73.688    48.560    28.457    22.283    40.325    38.170    26.687    32.994    46.116    28.022    30.992    42.771    63.065    23.688    26.678    21.065    24.997    23.201    40.410    39.283    47.401    22.425    31.171    23.901    25.820    31.581    15.938    28.356    24.428    21.064    30.094    38.470    30.383
12/2021       44.424    36.145    39.637    27.259    22.177    18.453    24.069    24.687    22.805    29.015    31.397    25.616    28.809    30.086    40.898    22.092    18.147    20.739    14.443    21.575    26.484    27.459    26.627    47.391    26.638    19.483    29.160    23.108    15.360    19.948    20.186    21.118    18.028    28.746    25.968
 1/2022       40.662    32.830    29.343    21.150    19.398    17.190    17.938    20.216    26.835    25.263    24.689    23.721    23.441    27.388    25.568    23.197    16.944    18.768    12.338    17.323    52.886    24.153    22.698    32.712    25.601    18.594    22.168    23.581    20.344    16.295    19.925    17.408    15.112    25.895    22.060
 2/2022       40.980    62.826    46.989    23.956    24.385    16.331    24.927    29.548    32.317    30.080    52.630    33.933    25.531    27.777    29.700    22.296    20.740    16.753    15.408    20.690    85.113    20.999    41.744    25.183    35.819    16.276    25.843    25.642    19.315    22.668    30.900    15.539    16.607    29.060    23.625
 3/2022      195.452   143.980   120.423    59.769    94.140    41.179    64.112    92.453   173.976    75.423   221.339    44.419   155.250    72.789    54.590    47.153    71.079    26.261    43.003    94.479   143.535    41.345   131.890   115.081    74.250    55.270    57.707    69.332    37.937    55.529    62.875    29.884    76.184    79.041    79.797
 4/2022      310.998   312.253   234.434    97.344   209.280   115.667   118.218   230.923   287.374   173.622   181.825    79.173   198.543   133.416   109.634   120.459   184.995    44.846    56.128   192.967   262.168   139.419   137.776   269.733   118.769   194.977   120.227   141.883    51.214   101.466    56.784    70.652   118.146   138.213   139.140
 5/2022      474.143   322.311   358.024   145.358   232.579   203.493   221.523   307.996   436.450   291.059   322.592   183.295   385.475   274.493   269.621   165.788   420.075    51.277   140.475   273.241   497.422   205.948   273.815   357.521   355.867   181.727   176.384   188.311    91.229   175.073   155.686   138.014   273.900   284.144   386.508
 6/2022      482.585   418.057   319.984   199.765   139.130   178.527   314.004   153.905   377.416   202.392   434.295    52.094   384.171   192.843   319.166    43.867   178.418    24.817    96.470   117.486   397.954    61.635   147.433   338.400   160.935   210.591   245.574    59.483    76.779   172.507   211.074   110.253   278.504   394.804   310.487
 7/2022      113.415   157.864    69.680    39.836    22.272    58.360    97.615    43.867    87.042    25.586   255.690     8.462    74.598    62.626   143.663     0.000    22.407    17.569     3.609    15.715   102.704    27.375    22.660    71.882    25.638    30.863    46.537    11.254    31.793    17.841    37.363    37.737    94.449   178.964    75.486
 8/2022       41.550    35.067    36.415    57.089    27.050    35.789    39.950    53.734    76.032    20.404    73.203     3.819    62.822    26.656   123.645     2.296    40.316    16.062    21.708     4.701    34.461    37.184    39.394    29.587     5.976    37.428    15.438    17.766    31.254    12.174     8.335    25.264    64.374    52.981    64.523
 9/2022       74.834    57.422    19.124    36.865    18.317    29.572    69.202    38.245    76.316    41.767    37.833    27.010    91.862    15.339    77.112     8.841    11.308    23.819    43.508    36.548    28.237    36.311    29.975    35.086    10.788    42.274    15.153    20.212    78.194    14.678     9.820    26.121    82.875    20.532    42.885
10/2022      110.788    89.652    20.718    33.025    34.930    50.055    22.790    20.063    33.193    31.756    35.426    29.612    81.084    45.838    27.447    32.356    14.969    22.811    19.643    43.607    75.417   127.078    39.742    28.757    23.431    32.599    57.123    15.907    42.796    43.397    13.031    63.560    45.716    50.512    70.514
11/2022       53.947    73.803    49.175    28.604    22.448    40.513    38.031    26.723    32.985    46.174    28.235    31.270    42.804    63.460    23.875    27.019    21.140    25.095    23.209    40.660    39.230    47.398    22.464    31.345    23.877    25.854    32.379    15.999    28.604    24.519    21.205    30.055    38.462    30.386    41.231
12/2022       36.243    39.708    27.666    22.327    18.611    24.218    25.162    22.835    29.003    31.446    25.718    29.123    30.120    41.150    22.148    18.434    20.811    14.510    21.616    26.698    27.407    26.624    47.830    26.812    19.459    29.198    23.527    15.424    20.178    20.273    21.155    17.994    28.734    25.972    44.356
 1/2023       32.944    29.399    21.177    19.532    17.360    18.064    19.958    26.878    25.254    24.726    23.853    23.694    27.423    25.739    23.190    17.227    18.838    12.402    17.453    53.363    24.104    22.693    32.982    25.776    18.570    22.201    23.881    20.410    16.466    20.016    17.644    15.079    25.877    22.064    40.594
 2/2023       62.969    47.062    22.551    24.545    16.479    25.114    29.440    32.378    30.064    52.697    33.669    25.838    27.812    29.872    22.254    21.135    16.823    15.473    19.417    85.690    20.958    41.729    24.568    36.067    16.255    25.877    25.462    19.384    22.884    31.013    15.349    16.577    29.032    23.627    40.919
 3/2023      144.135   120.529    60.613    94.505    41.427    64.545    89.642   174.163    75.410   221.478    44.553   156.040    72.844    54.753    44.843    71.835    26.351    43.143    93.505   144.072    41.288   131.874   108.115    74.625    55.195    57.764    67.749    38.028    55.817    63.037    29.615    76.102    78.994    79.784   195.302
 4/2023      312.459   234.486    95.930   209.423   115.948   118.604   226.566   287.487   173.620   181.873    77.869   198.824   133.460   109.863   118.178   185.601    44.919    56.204   191.383   262.701   139.360   137.771   270.979   119.097   194.914   120.302   142.751    51.301   101.655    56.866    67.214   118.025   138.164   139.113   310.910
 5/2023      322.377   358.064   141.207   232.682   203.678   221.715   309.307   436.499   291.052   322.625   182.700   385.624   274.517   269.832   166.317   420.327    51.322   140.530   272.847   497.793   205.909   273.809   349.927   356.025   181.707   176.416   188.843    91.273   175.222   155.791   136.741   273.803   284.183   386.506   474.098
